figure,desc,
Figure 5.3.6.1-1: Counter check procedure,"UE
 Network
CounterCheck
CounterCheckResponse
Figure 5.3.6.1-1: Counter check procedure
The counter check procedure is used by the network to request the UE to verify the amount of data sent/ received on
each DRB. More specifically, the UE is requested to check if, for each DRB, the most significant bits of the COUNT
match with the values indicated by the network.
NOTE:
 The procedure enables the network to detect packet insertion by an intruder (a 'man in the middle').",11.png
"Figure 5.3.7.1-1: RRC connection re-establishment, successful","UE
 Network
RRCReestablishmentRequest
RRCReestablishment
RRCReestablishmentComplete The purpose of this procedure is to re-establish the RRC connection. A UE in RRC_CONNECTED, for which AS
security has been activated with SRB2 and at least one DRB setup, may initiate the procedure in order to continue the
RRC connection. The connection re-establishment succeeds if the network is able to find and verify a valid UE context
or, if the UE context cannot be retrieved, and the network responds with an RRCSetup according to clause 5.3.3.4.",12.png
"Figure 5.3.7.1-2: RRC re-establishment, fallback to RRC establishment, successful","UE
Network
RRCReestablishmentRequest
RRCSetup
RRCSetupComplete The purpose of this procedure is to re-establish the RRC connection. A UE in RRC_CONNECTED, for which AS
security has been activated with SRB2 and at least one DRB setup, may initiate the procedure in order to continue the
RRC connection. The connection re-establishment succeeds if the network is able to find and verify a valid UE context
or, if the UE context cannot be retrieved, and the network responds with an RRCSetup according to clause 5.3.3.4.",13.png
"Figure 5.3.8.1-1: RRC connection release, successful","UE
 Network
RRCRelease The purpose of this procedure is:
-
 to release the RRC connection, which includes the release of the established radio bearers as well as all radio
resources; or
-
 to suspend the RRC connection only if SRB2 and at least one DRB are setup, which includes the suspension of
the established radio bearers.",14.png
"Figure 5.3.13.1-1: RRC connection resume, successful
","UE
 Network
RRCResumeRequest/RRCResumeRequest1
RRCResume
RRCResumeComplete The purpose of this procedure is to resume a suspended RRC connection, including resuming SRB(s) and DRB(s) or
perform an RNA update.",15.png
"Figure 5.3.13.1-2: RRC connection resume fallback to RRC connection establishment, successful
","UE
 Network
RRCResumeRequest/RRCResumeRequest1
RRCSetup
RRCSetupComplete The purpose of this procedure is to resume a suspended RRC connection, including resuming SRB(s) and DRB(s) or
perform an RNA update.",16.png
"Figure 5.3.13.1-3: RRC connection resume followed by network release, successful
","UE
 Network
RRCResumeRequest/RRCResumeRequest1
RRCRelease The purpose of this procedure is to resume a suspended RRC connection, including resuming SRB(s) and DRB(s) or
perform an RNA update.",17.png
"Figure 5.3.13.1-4: RRC connection resume followed by network suspend, successful","UE
 Network
RRCResumeRequest/RRCResumeRequest1
RRCRelease with suspend configuration The purpose of this procedure is to resume a suspended RRC connection, including resuming SRB(s) and DRB(s) or
perform an RNA update.",18.png
"Figure 5.3.13.1-5: RRC connection resume, network reject","UE
 Network
RRCResumeRequest/RRCResumeRequest1
RRCReject The purpose of this procedure is to resume a suspended RRC connection, including resuming SRB(s) and DRB(s) or
perform an RNA update.",19.png
"Figure 5.4.2.1-1: Handover to NR, successful
","UE
 Network
RRCReconfiguration (sent via other RAT)
RRCReconfigurationComplete
Figure 5.4.2.1-1: Handover to NR, successful
The purpose of this procedure is to, under the control of the network, transfer a connection between the UE and another
Radio Access Network (e.g. E-UTRAN) to NR.
The handover to NR procedure applies when SRBs, possibly in combination with DRBs, are established in another
RAT. Handover from E-UTRA to NR applies only after integrity has been activated in E-UTRA.",20.png
"Figure 5.4.3.1-1: Mobility from NR, successful
","UE
 Network
MobilityFromNRCommand The purpose of this procedure is to move a UE in RRC_CONNECTED to a cell using other RAT, e.g. E-UTRA. The
mobility from NR procedure covers the following type of mobility:
-
 handover, i.e. the MobilityFromNRCommand message includes radio resources that have been allocated for the
UE in the target cell;",21.png
"Figure 5.4.3.1-2: Mobility from NR, failure","UE
 Network
MobilityFromNRCommand
RRC connection re-establishment The purpose of this procedure is to move a UE in RRC_CONNECTED to a cell using other RAT, e.g. E-UTRA. The
mobility from NR procedure covers the following type of mobility:
-
 handover, i.e. the MobilityFromNRCommand message includes radio resources that have been allocated for the
UE in the target cell;",22.png
"Figure 5.5.5.1-1: Measurement reporting
","The purpose of this procedure is to transfer measurement results from the UE to the network. The UE shall initiate this
procedure only after successful AS security activation.
For the measId for which the measurement reporting procedure was triggered, the UE shall set the measResults within
the MeasurementReport message as follows:
1> set the measId to the measurement identity that triggered the measurement reporting;
1> for each serving cell configured with servingCellMO:
2> if the reportConfig associated with the measId that triggered the measurement reporting includes rsType:
3> if the serving cell measurements based on the rsType included in the reportConfig that triggered the
measurement report are available:
4> set the measResultServingCell within measResultServingMOList to include RSRP, RSRQ and the
available SINR of the serving cell, derived based on the rsType included in the reportConfig that
triggered the measurement report;
2> else:
3> if SSB based serving cell measurements are available:
4> set the measResultServingCell within measResultServingMOList to include RSRP, RSRQ and the
available SINR of the serving cell, derived based on SSB;
3> else if CSI-RS based serving cell measurements are available:
4> set the measResultServingCell within measResultServingMOList to include RSRP, RSRQ and the
available SINR of the serving cell, derived based on CSI-RS;",23.png
"Figure 5.5.5.1-1: Location measurement indication
","UE
 Network
LocationMeasurementIndication
Figure 5.5.5.1-1: Location measurement indication
The purpose of this procedure is to indicate to the network that the UE is going to start/stop location related
measurements (eutra-RSTD) which require measurement gaps or start/stop subframe and slot timing detection towards",24.png
"Figure 5.6.1.1-1: UE capability transfer
","This clause describes how the UE compiles and transfers its UE capability information upon receiving a
UECapabilityEnquiry from the network. UE
 Network
UECapabilityEnqiry
UECapabilityInformation",25.png
"Figure 5.7.1.1-1: DL information transfer
","UE
 Network
DLInformationTransfer The purpose of this procedure is to transfer NAS dedicated information from NG-RAN to a UE in
RRC_CONNECTED.",26.png
"Figure 5.7.2.1-1: UL information transfer
","UE
 Network
ULInformationTransfer The purpose of this procedure is to transfer NAS dedicated information from the UE to the network.",27.png
Figure 5.7.2a.1-1: UL information transfer MR-DC,"UE
 Network
ULInformationTransferMRDC
Figure 5.7.2a.1-1: UL information transfer MR-DC
The purpose of this procedure is to transfer MR-DC dedicated information from the UE to the network e.g. the NR or E-
UTRA RRC MeasurementReport and FailureInformation message.",28.png
Figure 5.7.3.1-1: SCG failure information,"UE
 Network
RRC reconfiguration
SCGFailureInformation
Figure 5.7.3.1-1: SCG failure information
The purpose of this procedure is to inform E-UTRAN or NR MN about an SCG failure the UE has experienced i.e.
SCG radio link failure, failure of SCG reconfiguration with sync, SCG configuration failure for RRC message on SRB3
and SCG integrity check failure.",29.png
Figure 5.7.3a.1-1: EUTRA SCG failure information,"UE
 Network
RRC reconfiguration
SCGFailureInformationEUTRA
Figure 5.7.3a.1-1: EUTRA SCG failure information The purpose of this procedure is to inform NR MN about an SCG failure on E-UTRA SN the UE has experienced (e.g.
SCG radio link failure, SCG change failure), as specified in TS 36.331 [10] clause 5.6.13.2.",30.png
"Figure 5.7.4.1-1: UE Assistance Information
","UE
Network
RRC reconfiguration
UEAssistanceInformation
Figure 5.7.4.1-1: UE Assistance Information
The purpose of this procedure is to inform the network of the UE's delay budget report carrying desired
increment/decrement in the connected mode DRX cycle length, or overheating assistance information",31.png
Figure 5.7.5.1-1: Failure information,"UE
 Network
FailureIndication
Figure 5.7.5.1-1: Failure information
The purpose of this procedure is to inform the network about a failure detected by the UE.",32.png
Figure 8.5-1: RRC level padding,"Padding
If the encoded RRC message does not fill a transport block, the RRC layer shall add padding bits. This applies to PCCH
and BCCH.
Padding bits shall be set to 0 and the number of padding bits is a multiple of 8.
RRC- ASN.1
RRC message
 Extension
ASN.1 encoder
Basic production (always a multiple of 8 bits)
RRC- PDU
RRC padding
Basic production
Figure 8.5-1: RRC level padding
RRC level
padding",33.png
"Figure 12.1-1: Illustration of RRC procedure delay
","The UE performance requirements for RRC procedures are specified in the following tables. The performance requirement is expressed as the time in [ms] from the end of
reception of the network -> UE message on the UE physical layer up to when the UE shall be ready for the reception of uplink grant for the UE -> network response message
with no access delay other than the TTI-alignment (e.g. excluding delays caused by scheduling, the random access procedure or physical layer synchronisation). In case the
RRC procedure triggers BWP switching, the RRC procedure delay is the value defined in the following table plus the BWP switching delay defined in TS 38.133 [14], clause
8.6.3.",34.png
"Figure 5.2-1: NG and Uu user plane
"," User plane
The PDU Session Resource service is offered from SAP to SAP by the Access Stratum. Figure 5.2-1 shows the
protocols on the Uu and the NG interfaces that linked together provide this PDU Session Resource service.
Non-Access Stratum
Radio
 Radio
 NG
 NG
proto-
 proto-
 proto
 proto
cols
 cols
 cols
 cols
(1)
 (1)
 (2)
 (2)
UE
Radio
(Uu)
Access Stratum
NG-RAN
NG
5GC
NOTE 1: The radio interface protocols are defined in TS 38.2xx and TS 38.3xx.
NOTE 2: The NG interface protocols are defined in TS 38.41x.
Figure 5.2-1: NG and Uu user plane",35.png
"Figure 5.3-1: NG and Uu control plane
"," Control plane
Figure 5.3-1 shows the control plane (signalling) protocol stacks on NG and Uu interfaces.
CM,SM
 (3)
 Non-Access Stratum
 CM,SM
 (3)
Radio
 Radio
 NG
 NG
proto-
 proto-
 proto
 proto
cols
 cols
 cols
 cols
(1)
 (1)
 (2)
 (2)
UE
Radio
(Uu)
Access Stratum
NG-RAN
NG
5GC
NOTENOTENOTE1:2:3:The radio interface protocols are defined in TS 38.2xx and TS 38.3xx.
The protocol is defined in TS 38.41x. (Description of NG interface).
CM, SM: This exemplifies a set of NAS control protocols between UE and 5GC. The evolution of the
protocol architecture for these protocols is outside the scope of the present document.
Figure 5.3-1: NG and Uu control plane",36.png
Figure 6.1-1: Overall architecture,"Overall Architecture of NG-RAN The NG-RAN consists of a set of gNBs connected to the 5GC through the NG interface.
NOTE:
 As specified in TS 38.300 [2], NG-RAN could also consists of a set of ng-eNBs, an ng-eNB may consist
of an ng-eNB-CU and one or more ng-eNB-DU(s). An ng-eNB-CU and an ng-eNB-DU is connected via
W1 interface. The general principle described in this clause also applies to ng-eNB and W1 interface, if
not explicitly specified otherwise.
An gNB can support FDD mode, TDD mode or dual mode operation.
gNBs can be interconnected through the Xn interface.
A gNB may consist of a gNB-CU and one or more gNB-DU(s). A gNB-CU and a gNB-DU is connected via F1
interface.
One gNB-DU is connected to only one gNB-CU.
NOTE:
 In case of network sharing with multiple cell ID broadcast, each Cell Identity associated with a subset of
PLMNs corresponds to a gNB-DU and the gNB-CU it is connected to, i.e. the corresponding gNB-DUs
share the same physical layer cell resources.
NOTE:
 For resiliency, a gNB-DU may be connected to multiple gNB-CUs by appropriate implementation.
NG, Xn and F1 are logical interfaces.
For NG-RAN, the NG and Xn-C interfaces for a gNB consisting of a gNB-CU and gNB-DUs, terminate in the gNB-
CU. For EN-DC, the S1-U and X2-C interfaces for a gNB consisting of a gNB-CU and gNB-DUs, terminate in the
gNB-CU. The gNB-CU and connected gNB-DUs are only visible to other gNBs and the 5GC as a gNB. A possible
deployment scenario is described in Annex A.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 15
 ETSI TS 138 401 V17.6.0 (2023-10)
The node hosting user plane part of NR PDCP (e.g. gNB-CU, gNB-CU-UP, and for EN-DC, MeNB or SgNB
depending on the bearer split) shall perform user inactivity monitoring and further informs its inactivity or (re)activation
to the node having C-plane connection towards the core network (e.g. over E1, X2). The node hosting NR RLC (e.g.
gNB-DU) may perform user inactivity monitoring and further inform its inactivity or (re)activation to the node hosting
control plane, e.g. gNB-CU or gNB-CU-CP.
UL PDCP configuration (i.e. how the UE uses the UL at the assisting node) is indicated via X2-C (for EN-DC), Xn-C
(for NG-RAN) and F1-C. Radio Link Outage/Resume for DL and/or UL is indicated via X2-U (for EN-DC), Xn-U (for
NG-RAN) and F1-U.
The NG-RAN is layered into a Radio Network Layer (RNL) and a Transport Network Layer (TNL).
The NG-RAN architecture, i.e. the NG-RAN logical nodes and interfaces between them, is defined as part of the RNL.
For each NG-RAN interface (NG, Xn, F1) the related TNL protocol and the functionality are specified. The TNL
provides services for user plane transport, signalling transport.
In NG-Flex configuration, each NG-RAN node is connected to all AMFs of AMF Sets within an AMF Region
supporting at least one slice also supported by the NG-RAN node. The AMF Set and the AMF Region are defined in
TS 23.501 [3].
If security protection for control plane and user plane data on TNL of NG-RAN interfaces has to be supported, NDS/IP
TS 33.501 [13] shall be applied.",37.png
Figure 6.1.2-1. Overall architecture for separation of gNB-CU-CP and gNB-CU-UP," Overall architecture for separation of gNB-CU-CP and gNB-CU-UP
The overall architecture for separation of gNB-CU-CP and gNB-CU-UP is depicted in Figure 6.1.2-1.
NOTE:
NG-RAN could also consist of a set of ng-eNBs, an ng-eNB may consist of an ng-eNB-CU-CP, one or
more ng-eNB-CU-UP(s), and one or more ng-eNB-DU(s). An ng-eNB-CU-CP and an ng-eNB-CU-UP is
connected via the E1 interface. An ng-eNB-DU is connected to an ng-eNB-CU-CP via the W1-C
interface, and to an ng-eNB-CU-UP via the W1-U interface. The general principle described in this clause
also applies to ng-eNB and its corresponding E1 and W1 interfaces, if not explicitly specified otherwise.
-
-
-
-
-
-
gNB-CU-CP
 gNB-CU-UP
E1
F1-C
 F1-U
gNB-DU
 gNB-DU
gNB
Figure 6.1.2-1. Overall architecture for separation of gNB-CU-CP and gNB-CU-UP
A gNB may consist of a gNB-CU-CP, multiple gNB-CU-UPs and multiple gNB-DUs;
The gNB-CU-CP is connected to the gNB-DU through the F1-C interface;
The gNB-CU-UP is connected to the gNB-DU through the F1-U interface;
The gNB-CU-UP is connected to the gNB-CU-CP through the E1 interface;
One gNB-DU is connected to only one gNB-CU-CP;
One gNB-CU-UP is connected to only one gNB-CU-CP;
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 16
 ETSI TS 138 401 V17.6.0 (2023-10)
NOTE 1: For resiliency, a gNB-DU and/or a gNB-CU-UP may be connected to multiple gNB-CU-CPs by
appropriate implementation.
-
 One gNB-DU can be connected to multiple gNB-CU-UPs under the control of the same gNB-CU-CP;
-
 One gNB-CU-UP can be connected to multiple DUs under the control of the same gNB-CU-CP;
NOTE 2: The connectivity between a gNB-CU-UP and a gNB-DU is established by the gNB-CU-CP using
Bearer Context Management functions.
NOTE 3: The gNB-CU-CP selects the appropriate gNB-CU-UP(s) for the requested services for the UE. In case
of multiple CU-UPs they belong to same security domain as defined in TS 33.210 [18].
NOTE 4: Data forwarding between gNB-CU-UPs during intra-gNB-CU-CP handover within a gNB may be
supported by Xn-U.",38.png
Figure 6.1.3-1: Overall architecture of IAB,"The NG-RAN supports IAB by the IAB-node wirelessly connecting to the gNB capable of serving the IAB-nodes,
named IAB-donor.
The IAB-donor consists of an IAB-donor-CU and one or more IAB-donor-DU(s). In case of separation of gNB-CU-CP
and gNB-CU-UP, the IAB-donor may consist of an IAB-donor-CU-CP, multiple IAB-donor-CU-UPs and multiple
IAB-donor-DUs.
The IAB-node connects to an upstream IAB-node or an IAB-donor-DU via a subset of the UE functionalities of the NR
Uu interface (named IAB-MT function of IAB-node). The IAB-node provides wireless backhaul to the downstream
IAB-nodes and UEs via the network functionalities of the NR Uu interface (named IAB-DU function of IAB-node).
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 17
 ETSI TS 138 401 V17.6.0 (2023-10)
The F1-C traffic between an IAB-node and IAB-donor-CU is backhauled via the IAB-donor-DU and the optional
intermediate hop IAB-node(s).
The F1-U traffic between an IAB-node and IAB-donor-CU is backhauled via the IAB-donor-DU and the optional
intermediate hop IAB-node(s).
All functions specified for a gNB-DU are equally applicable for an IAB-DU and IAB-donor-DU, unless otherwise
stated, and all functions specified for a gNB-CU are equally applicable for an IAB-donor-CU, unless otherwise stated.
All functions specified for the UE context are equally applicable for managing the context of IAB-MT, unless otherwise
stated.",39.png
"Figure 6.1.4-1: Protocol stack for F1-U of IAB
","Figure 6.1.4-1 shows the protocol stack for F1-U between IAB-DU and the IAB-donor-CU-UP, and Figure 6.1.4-2
shows the protocol stack for F1-C between IAB-DU and the IAB-donor-CU-CP. In these example figures, F1-U and
F1-C traffic are carried over two backhaul hops.",40.png
Figure. 6.1.4-2: Protocol stack for F1-C of IAB,"Figure 6.1.4-1 shows the protocol stack for F1-U between IAB-DU and the IAB-donor-CU-UP, and Figure 6.1.4-2
shows the protocol stack for F1-C between IAB-DU and the IAB-donor-CU-CP. In these example figures, F1-U and
F1-C traffic are carried over two backhaul hops.",41.png
Fig. 6.1.4-3: Protocol stack for IAB F1-C traffic exchanged via the MeNB,"Figure 6.1.4-3 shows the protocol stack for F1-C between IAB-DU and the IAB-donor-CU-CP, when the F1-C
traffic is exchanged via the MeNB.",42.png
Fig. 6.1.4-4: Protocol stack for IAB F1-C traffic exchanged via the MgNB,"Figure 6.1.4-4 shows the protocol stack for F1-C between IAB-DU and the IAB-donor-CU-CP, when the F1-C
traffic is exchanged via the MgNB",43.png
Fig. 6.1.4-5: Protocol stack for IAB F1-C traffic exchanged via the SgNB,"Figure 6.1.4-5 shows the protocol stack for F1-C between IAB-DU and the IAB-donor-CU-CP, when the F1-C
traffic is exchanged via the SgNB",44.png
"Figure 6.1.6-1: User plane protocol stack for L2 UE-to-Network Relay
","The protocol stacks for the user plane and control plane of L2 U2N Relay architecture are described in Figure 6.1.6-1
and Figure 6.1.6-2, respectively. The Uu SRAP is terminated between U2N relay UE and gNB-DU.",45.png
"Figure 6.1.6-2: Control plane protocol stack for L2 UE-to-Network Relay
","The protocol stacks for the user plane and control plane of L2 U2N Relay architecture are described in Figure 6.1.6-1
and Figure 6.1.6-2, respectively. The Uu SRAP is terminated between U2N relay UE and gNB-DU.",46.png
Figure 8.1-1: UE Initial Access procedure," The UE sends an RRCSetupRequest message to the gNB-DU.
2. The gNB-DU includes the RRC message and, if the UE is admitted, the corresponding low layer configuration
for the UE in the INITIAL UL RRC MESSAGE TRANSFER message and transfers to the gNB-CU. The
INITIAL UL RRC MESSAGE TRANSFER message includes the C-RNTI allocated by the gNB-DU. If the
gNB-DU identifies the UE as a Reduced Capability UE during the random access procedure, a NR RedCap UE
Indication is provided in the INITIAL UL RRC MESSAGE TRANSFER message.
3. The gNB-CU allocates a gNB-CU UE F1AP ID for the UE and generates a RRCSetup message towards UE.
The RRC message is encapsulated in -the DL RRC MESSAGE TRANSFER message.
4. The gNB-DU sends the RRCSetup message to the UE.
5. The UE sends the RRC CONNECTION SETUP COMPLETE message to the gNB-DU.
6. The gNB-DU encapsulates the RRC message in the UL RRC MESSAGE TRANSFER message and sends it to
the gNB-CU.
7. The gNB-CU sends the INITIAL UE MESSAGE message to the AMF.
8. The AMF sends the INITIAL CONTEXT SETUP REQUEST message to the gNB-CU.
9. The gNB-CU sends the UE CONTEXT SETUP REQUEST message to establish the UE context in the gNB-DU.
In this message, it may also encapsulate the SecurityModeCommand message. In case of NG-RAN sharing, the
gNB-CU includes the serving PLMN ID (for SNPNs the serving SNPN ID).
10. The gNB-DU sends the SecurityModeCommand message to the UE.
11. The gNB-DU sends the UE CONTEXT SETUP RESPONSE message to the gNB-CU.
12. The UE responds with the SecurityModeComplete message.The gNB-DU encapsulates the RRC message in the UL RRC MESSAGE TRANSFER message and sends it to
the gNB-CU.
14. The gNB-CU generates the RRCReconfiguration message and encapsulates it in the DL RRC MESSAGE
TRANSFER message.
15. The gNB-DU sends RRCReconfiguration message to the UE.
16. The UE sends RRCReconfigurationComplete message to the gNB-DU.
17. The gNB-DU encapsulates the RRC message in the UL RRC MESSAGE TRANSFER message and send it to
the gNB-CU.
18. The gNB-CU sends the INITIAL CONTEXT SETUP RESPONSE message to the AMF.",47.png
